Papers,Explainability Future,Explainability Type,Subthemes,Data,Try/Combine New Techniques,New Explanatory Metrics,Defect Prediction Type,Study Performance,Industry Follow-Up
review_1,No,No,Different Defect Prediction Scenarios & Additional Data,1,0,0,1,0,0
review_2,No,No,Commercial Projects,1,0,0,0,0,0
review_3,No,No,Qualitative Analysis & Training Waiting Time,0,1,0,0,1,0
review_4,No,No,Additional Data & Different Programming Languages & Performance Improvement/Optimisation & Transfer Learning & Alignment Techniques,1,1,0,0,1,0
review_5,No,No,Performance Improvement/Optimisation & Additional Data & Human Effort & Impact of Git Blame,1,1,0,0,1,1
review_6,No,No,Different Domains,1,0,0,0,0,0
review_7,No,No,Additional Data & Different Programming Languages & Transfer Learning,1,0,0,1,0,0
review_8,No,No,Different Programming Languages & Additional Data,1,0,0,0,0,0
review_9,No,No,LLMs & Performance Improvement/Optimisation & Additional Inputs,0,1,1,0,1,0
review_10,No,No,Additional Data & Commercial Projects & Different Environments & New Classifier Types & Control Study,1,1,0,0,0,0
review_11,No,No,Additional Data & Rule Mining & Self-Adaptive Minimum,1,1,0,0,0,0
review_12,No,No,Data/Class Imbalance & Performance Improvement/Optimisation & Parameter Tuning,1,0,0,0,1,0
review_13,No,No,NULL,0,0,0,0,0,0
review_14,No,No,Performance Improvement/Optimisation & Additional Data & Parameter Tuning & Offline Models & Computational Cost,1,0,0,1,1,0
review_15,Yes,More Informative Outputs,Defect Severity & System Reliability & Defect Associations,0,1,0,0,0,1
review_16,No,No,Additional Data & New Methods/Approaches & Different Granularity & Code Smells & Data Noise & Feature Engineering & Different Domains & Security,1,1,1,0,0,1
review_17,No,No,Additional Data & Different Programming Languages & Feature Engineering,1,0,1,0,0,0
review_18,No,No,None,0,0,0,0,0,0
review_19,No,No,New Performance Metrics & New/New Classifiers/Techniques & Data Noise & Training Waiting Time & Performance Improvement/Optimisation,1,1,0,0,1,0
review_20,No,No,Transfer Learning & Deep Learning & Additional Data & Performance Improvement/Optimisation & Different Programming Languages & Security,1,1,0,1,1,0
review_21,No,No,Deep Learning,0,1,0,0,0,0
review_22,No,No,Performance Improvement/Optimisation & Additional Data & Parameter Tuning & Feature Engineering & Generalisability,1,0,1,1,1,0
review_23,No,No,Feature Engineering & Cross-Project Software Prediction,0,0,1,1,0,0
review_24,Yes,Explainability,More Explainable/Actionable Predictions & Generalisability & Study Replication & Additional Data & Cross-Project Defect Prediction & Research Recommendation & Just-In-Time Defect Prediction & Heterogenous Defect Prediction,1,0,0,1,0,1
review_25,No,No,Performance Improvement/Optimisation & Data Noise & Deep Learning & New Approach,1,1,0,1,0,0
review_26,No,No,Additional Data & Commercial Projects & Implement Tools & Different Programming Languages,1,0,0,0,0,1
review_27,No,No,Study Replication & Data Preprocessing & Developer/Qualitative Study,1,0,0,0,0,1
review_28,No,No,Deep Learning & Commercial Projects & Feature Engineering,1,1,1,0,0,0
review_29,No,No,Additional Data & Different Programming Languages & Performance Improvement/Optimisation,1,0,0,0,1,0
review_30,Yes,Explainability,Model Interpretability & Cross-Project Defect Prediction,0,0,0,1,0,1
review_31,No,No,Commercial Projects,1,0,0,0,0,0
review_32,No,No,Generalisability & Additional Data & New Performance Metrics & New Classifiers/Techniques & Deep Learning & Cross-Project Defect Prediction,1,1,0,1,1,0
review_33,No,No,New Performance Metrics & Study Replication,1,0,0,0,1,0
review_34,No,No,New Classifiers/Techniques & Feature Engineering,0,1,1,0,0,0
review_35,No,No,Feature Selection/Representation & Additional Data & New Performance Metrics,1,0,1,0,1,0
review_36,No,No,New Classifiers/Techniques,0,1,0,0,0,0
review_37,No,No,New Classifiers/Techniques & Generalisability & Data Noise & Performance Improvement/Optimisation,1,1,0,0,1,0
review_38,No,No,Study Reliability,1,0,0,0,0,0
review_39,Yes,Explainability,Commercial Projects & Costs of Defect Prediction & Practicalities of Defect Prediction,1,0,0,0,0,1
review_40,No,No,Build Dataset & Additional Data & Feature Engineering,1,0,1,0,0,0
review_41,No,No,None,0,0,0,0,0,0
review_42,No,No,None,0,0,0,0,0,0
review_43,No,No,Additional Data & New Classifiers/Techniques & Time Series,1,1,0,0,0,0
review_44,No,No,Feature Selection/Representation & New Classifiers/Techniques,0,1,1,0,0,0
review_45,No,No,None,0,0,0,0,0,0
review_46,No,No,Generalisability & Additional Data & Open Source Projects & Commercial Projects & More Software Metrics & Heterogenous Defect Prediction,1,0,1,1,0,0
review_47,No,No,Parameter Tuning & New Performance Measures & Multi-Objective Optimisation,0,1,0,0,1,0
review_48,No,No,Data Noise & Just-In-Time Defect Prediction & Study Replication & Feature Engineering,1,0,1,1,0,1
review_49,Yes,Explainability,More Explainable/Actionable Predictions,0,0,0,0,0,1
