,Explainability,Subthemes
review_1,No,Different Defect Prediction Scenarios & Additional Data
review_2,No,Commercial Projects
review_3,No,Qualitative Analysis & Training Waiting Time
review_4,Yes,Additional Data & Different Programming Languages & Performance Improvement/Optimisation & Transfer Learning & Alignment Techniques
review_5,Yes,Performance Improvement/Optimisation & Additional Data & Human Effort & Impact of Git Blame
review_6,No,Different Domains
review_7,Yes,Additional Data & Different Programming Languages & Transfer Learning
review_8,No,Different Programming Languages & Additional Data
review_9,No,LLMs & Performance Improvement/Optimisation & Additional Inputs
review_10,Yes,Additional Data & Commercial Projects & Different Environments & New Classifier Types & Control Study
review_11,Yes,Additional Data & Rule Mining & Self-Adaptive Minimum
review_12,No,Data/Class Imbalance & Performance Improvement/Optimisation & Parameter Tuning
review_13,No,NULL
review_14,No,Performance Improvement/Optimisation & Additional Data & Parameter Tuning & Offline Models & Computational Cost
review_15,No,Defect Severity & System Reliability & Defect Associations
review_16,No,Additional Data & New Methods/Approaches & Different Granularity & Code Smells & Data Noise & Feature Engineering & Different Domains & Security
review_17,No,Additional Data & Different Programming Languages & Feature Engineering
review_18,No,NULL
review_19,No,New Performance Metrics & New/New Classifiers/Techniques & Data Noise & Training Waiting Time & Performance Improvement/Optimisation
review_20,Yes,Transfer Learning & Deep Learning & Additional Data & Performance Improvement/Optimisation & Different Programming Languages & Security
review_21,No,Deep Learning
review_22,No,Performance Improvement/Optimisation & Additional Data & Parameter Tuning & Feature Engineering & Generalisability
review_23,No,Feature Engineering & Cross-Project Software Prediction
review_24,Yes,More Explainable/Actionable Predictions & Generalisability & Study Replication & Additional Data & Cross-Project Defect Prediction & Research Recommendation & Just-In-Time Defect Prediction & Heterogenous Defect Prediction
review_25,Yes,Performance Improvement/Optimisation & Data Noise & Deep Learning & New Approach
review_26,No,Additional Data & Commercial Projects & Implement Tools & Different Programming Languages
review_27,No,Study Replication & Data Preprocessing & Developer/Qualitative Study
review_28,No,Deep Learning & Commercial Projects & Feature Engineering
review_29,No,Additional Data & Different Programming Languages & Performance Improvement/Optimisation
review_30,No,Model Interpretability & Cross-Project Defect Prediction
review_31,Yes,Commercial Projects
review_32,No,Generalisability & Additional Data & New Performance Metrics & New Classifiers/Techniques & Deep Learning & Cross-Project Defect Prediction
review_33,No,New Performance Metrics & Study Replication
review_34,No,New Classifiers/Techniques & Feature Engineering
review_35,Yes,Feature Selection/Representation & Additional Data & New Performance Metrics
review_36,Yes,New Classifiers/Techniques
review_37,No,New Classifiers/Techniques & Generalisability & Data Noise & Performance Improvement/Optimisation
review_38,Yes,Study Reliability
review_39,No,Commercial Projects & Costs of Defect Prediction & Practicalities of Defect Prediction
review_40,No,Build Dataset & Additional Data & Feature Engineering
review_41,No,NULL
review_42,Yes,NULL
review_43,No,Additional Data & New Classifiers/Techniques & Time Series
review_44,No,Feature Selection/Representation & New Classifiers/Techniques
review_45,No,NULL
review_46,Yes,Generalisability & Additional Data & Open Source Projects & Commercial Projects & More Software Metrics & Heterogenous Defect Prediction
review_47,No,Parameter Tuning & New Performance Measures & Multi-Objective Optimisation
review_48,No,Data Noise & Just-In-Time Defect Prediction & Study Replication & Feature Engineering
review_49,Yes,More Explainable/Actionable Predictions
review_50,Yes,Cross-Project Defect Prediction & Data/Class Imbalance & Shared Metrics CPDP & More Software Metrics & Additional Data & Dictionary Learning & Data Different Programming Languages
review_51,Yes,Transfer Learning
review_52,No,Study Replication
review_53,Yes,Change Metrics & More Software Metrics & Process Metrics & Performance Factors & Performance Improvement/Optimisation
review_54,No,Data/Class Imbalance & Deep Learning
review_55,No,Commercial Projects & Semi/Unsupervised Learning & Data/Class Imbalance & Different Domains
review_56,No,Data/Class Imbalance & Performance Improvement/Optimisation & Feature Engineering & Cross-Project Defect Prediction & New Classifiers/Techniques
review_57,No,Feature Extraction
review_58,No,Performance Factors & Performance Improvement/Optimisation
review_59,No,New Performance Measures & Data/Class Imbalance & Additional Data & Performance Factors & New Classifiers/Techniques
review_60,Yes,Additional Data & New Applications & Feature Engineering
review_61,No,Additional Data & Performance Improvement/Optimisation & Transfer Learning
review_62,Yes,Commercial Projects & Online Learning & Performance Factors & Feature Engineering
review_63,No,NULL
review_64,No,Additional Data & Commercial Projects & Parameter Tuning & Cross-Project Defect Prediction & Effort-Aware Defect Prediction
review_65,No,Network Embedding & Generalisability
review_66,No,New Classifiers/Techniques
review_67,No,Additional Data & Commercial Projects
review_68,Yes,Extending Defect Prediction Applications & Method-Level Defect Prediction
review_69,No,Commercial Projects & Data Pre-Processing
review_70,No,New Classifiers/Techniques & Different Validation Techniques
review_71,Yes,Study Replication & Feature Selection/Representation & Different Domains
review_72,No,Generalisability & Cross-Project Defect Prediction & Commercial Projects & Performance Factors
review_73,Yes,Commercial Projects & Study Replication
review_74,No,Data Pre-Processing & Commercial Projects & Performance Improvement/Optimisation & New Performance Measures
review_75,Yes,NULL
review_76,No,Test Case Prioritisation & Cross-Project Defect Prediction & Additional Data & Generalisability & Data Different Programming Languages
review_77,No,Context Metrics & Commercial Projects
review_78,No,Parameter Tuning & Performance Factors & Cross-Project Defect Prediction
review_79,No,Additional Data & Cost/Probability Models & New Performance Measures
review_80,Yes,Additional Data & More Software Metrics & Evaluation With Developers & Parameter Tuning & Ensemble Learning
review_81,Yes,Additional Data & Parameter Tuning & Data/Class Imbalance & Commercial Projects & Open Source Projects & Measuring Privacy
review_82,Yes,Parameter Tuning & Ensemble Learning &  Random Forest
review_83,Yes,More Software Metrics & Process Metrics & Concurrency Mutation
review_84,No,Commercial Projects & Parameter Tuning & New Classifiers/Techniques
review_85,Yes,Evaluation With Developers & Generalisability & Different Domains & More Explainable/Actionable Predictions & Performance Factors & Bayesian Learners
review_86,No,New Classifiers/Techniques & Different Domains
review_87,No,Additional Data & New Classifiers/Techniques & Generalisability
review_88,Yes,Complexity Metrics & Commercial Projects & Generalisability & Interactive Metrics & Ensemble Learning
review_89,Yes,Code Smells & Local-Learning Models & Performance Factors
review_90,No,Study Replication & Neural Networks & Genetic Algorithms
review_91,No,New Classifiers/Techniques
review_92,No,Cross-Project Defect Prediction & Study Replication & More Explainable/Actionable Predictions & Feature Selection/Representation & Data Different Programming Languages
review_93,No,More Explainable/Actionable Predictions & Different Granularity & Generalisability & Defect Types & Method-Level Defect Prediction & Just-In-Time Defect Prediction & Different Domains
review_94,Yes,Additional Data & Commercial Projects & Empirical Study & Parameter Tuning & Evaluation With Developers & Supervised Learning & Semi/Unsupervised Learning & Effort-Aware Defect Prediction & Cost vs Performance
review_95,No,NULL
review_96,No,Cross-Project Defect Prediction & Parameter Tuning & Data/Class Imbalance & Deep Learning & Feature Selection/Representation & Data Pre-Processing & Cross-Version Defect Prediction & Within-Version Defect Prediction
review_97,No,Commercial Projects & More Explainable/Actionable Predictions & Developing Tools & Neural Networks & Open Source Projects & Different Domains
review_98,No,Feature Selection/Representation & Generalisability
